,AbsoluteY,AbsoluteX,H2Db,H2Kb,PD1,PDL1,Region,Cell Type,IFNg
60345,164.7057780761719,19.52474401855477,10231.691377375075,2598.615061827234,7870.839418975723,5564.048219996215,Cntrl_d3,PDL1n,0
60347,2.1534749755860503,57.637686035156264,4476.160060110434,7335.395472153588,4509.069496856929,11408.49088175853,Cntrl_d3,PDL1n,0
60349,6.576229858398506,47.242573730468735,4943.197389358881,5565.820533920279,4561.684428783856,9513.611176027793,Cntrl_d3,PDL1n,0
60352,19.850937377929768,9.161661987304797,6065.953310825652,3038.3439648284984,4891.331900456336,5987.813498098183,Cntrl_d3,PDL1n,0
60355,150.68056811523434,23.623192382812476,1412.5792442246632,2852.9596282354755,2018.8930304175653,5719.547117170188,Cntrl_d3,PDL1n,0
60357,164.78060742187495,32.814868408203154,5832.09857962685,6000.055561107392,5304.270076332124,9901.834793063044,Cntrl_d3,PDL1n,0
60361,133.6449266357422,4.0293168945312345,1848.5344768373286,1315.97183234013,2286.8613896172524,5753.200184991973,Cntrl_d3,PDL1n,0
60364,146.65207092285152,91.85632666015624,2194.152785093578,2337.335796468903,2702.3072493178574,8173.863424109668,Cntrl_d3,PDL1n,0
60373,142.78910949707029,29.573229858398463,3972.6325881907533,3766.355849550975,4136.875264890515,8166.7834119449835,Cntrl_d3,PDL1n,0
60375,60.768645263671885,20.14247729492189,4648.180430662304,2415.340538096737,4666.545067620839,13808.20554488295,Cntrl_d3,PDL1n,0
60377,23.874556396484365,19.73505773925774,3538.4821785424137,3344.520398581486,3312.7547505949137,6568.325525518148,Cntrl_d3,PDL1n,0
60379,11.301201416015601,22.593437499999993,2669.545874165978,3737.2517617128383,2285.4085295483833,4883.346055432283,Cntrl_d3,PDL1n,0
60382,97.48486486816404,43.11591479492188,4777.374698502802,1980.2741630412265,4339.268196727649,12160.307933510125,Cntrl_d3,PDL1n,0
60383,59.96139953613283,33.71843505859374,1845.414101525969,5458.025517915193,2713.0657909873653,11218.640355562522,Cntrl_d3,PDL1n,0
60384,39.83437646484373,70.46084033203124,2391.8925440635962,4603.451162448541,3066.937323247301,11334.111813962438,Cntrl_d3,PDL1n,0
60385,47.08762268066408,59.45894763183594,2927.1884138362857,4686.194131716493,3255.894465019736,12058.858439202364,Cntrl_d3,PDL1n,0
60387,31.765324707031255,15.455426635742299,2489.747612059767,2526.4597654020013,2031.7133231131868,5190.680828486526,Cntrl_d3,PDL1n,0
60391,122.77538891601557,29.968500000000006,14831.28175742068,3711.2063461579005,10719.607882440905,12577.26282991068,Cntrl_d3,PDL1n,0
60393,54.75381091308594,9.518320922851501,2385.4832878846514,741.2614386887367,2696.9903723726347,10809.792073090532,Cntrl_d3,PDL1n,0
60396,25.434973754882833,79.36502624511718,5603.155823173534,5565.645868255777,5372.020664790584,9474.34955856955,Cntrl_d3,PDL1n,0
60399,54.468483764648454,59.67565820312501,10646.580015123216,1528.3562604777073,7955.82430079123,9394.220930894722,Cntrl_d3,PDL1n,0
60401,31.99110131835937,30.679838989257803,2046.5982122971745,3977.2976842924995,2807.87220506078,7052.356457166921,Cntrl_d3,PDL1n,0
60402,21.524335083007713,100.75793542480471,2673.2798212784814,3796.0146188912468,2538.0685479516883,6975.5253451577955,Cntrl_d3,PDL1n,0
60404,57.506619628906265,27.338059814453118,1721.520391311178,4802.951384587982,2469.328649321285,11896.720260620961,Cntrl_d3,PDL1n,0
60410,147.39051599121092,40.63200390625002,3719.215344233557,2512.246262655056,3707.930120167041,5059.492333082023,Cntrl_d3,PDL1n,0
60411,18.133958251953118,82.03163854980471,1906.6596372639845,4140.214891106057,2415.943152858653,6728.981031552067,Cntrl_d3,PDL1n,0
60413,113.67455737304692,41.09676501464844,2212.003417414174,4493.565890740276,2415.8943388156667,7671.272240571176,Cntrl_d3,PDL1n,0
60415,36.213114746093765,103.56012414550781,2752.4708209393625,2340.0296265725824,3169.751993041993,9192.820544854061,Cntrl_d3,PDL1n,0
60416,37.08975939941405,7.06216040039061,4232.9925633165585,2722.701865952156,3731.78000092875,5788.3017053024505,Cntrl_d3,PDL1n,0
60419,125.36068298339842,56.15821875,5333.455501946817,3430.4380343191015,4743.202567321261,8409.040778184997,Cntrl_d3,PDL1n,0
