,AbsoluteY,AbsoluteX,H2Db,H2Kb,PD1,PDL1,Region,Cell Type,IFNg
77553,155.45483197021485,9.276161010742271,9547.861826848675,4250.662262549313,7408.539601977721,11613.846634595195,Tcelld3,PDL1n,0
77554,113.54892572021487,93.77772888183591,8863.66126184646,20917.988304912724,5212.594734444518,32846.71107632499,Tcelld3,PDL1n,0
77555,113.8899606933594,36.64216394042967,4865.223521198853,10164.673740768147,3492.6278925859847,22678.359845340652,Tcelld3,PDL1n,0
77556,145.1106873779297,34.251812744140636,4733.793343309604,9145.564329340681,4644.524795913901,15088.84640524522,Tcelld3,PDL1n,0
77557,85.85608514404299,98.5662087402344,3729.474158960442,15796.171936465176,3646.544442486482,22717.793153093888,Tcelld3,PDL1n,0
77558,151.33185467529296,55.29809545898439,5553.389633999594,9295.993952719557,3775.8814701406386,13723.267818945262,Tcelld3,PDL1n,0
77559,175.7193873291015,40.605265991210956,4859.234395465027,10546.30877631759,3755.796877100674,26752.803005937996,Tcelld3,PDL1n,0
77561,108.08318505859376,76.40457299804689,5287.6556162017,15818.291758070054,3910.3035997915563,26631.534197577228,Tcelld3,PDL1n,0
77562,178.48733679199222,53.84601037597656,4623.840067536135,9122.36953835659,4099.215414238362,20260.861371660572,Tcelld3,PDL1n,0
77563,125.51437280273439,42.972284790039055,5549.846861352225,10911.676301600177,3885.217952994258,22712.223543524335,Tcelld3,PDL1n,0
77564,173.7911050415039,31.55896875000002,5371.736488421882,14163.998855947235,3895.2343744012296,29021.123263304125,Tcelld3,PDL1n,0
77566,144.18031378173828,0.5966011962889866,3664.323336940084,3943.665102488608,3711.193687612382,8616.729395029926,Tcelld3,PDL1n,0
77567,114.79967108154295,13.340738281250026,3929.316081416645,6802.8142344646185,3211.8983313742897,16347.407067669898,Tcelld3,PDL1n,0
77569,104.40393749999998,103.01422888183595,5982.939766399946,9083.351656692157,4765.918347385028,26511.037110542413,Tcelld3,PDL1n,0
77570,152.83732354736327,26.63537268066409,5866.47371309685,9206.35607320501,4249.067552770247,20726.49961170752,Tcelld3,PDL1n,0
77571,104.64232373046877,51.90509545898436,2924.9277568953103,6321.923917696145,2699.8812280837483,14200.149118309731,Tcelld3,PDL1n,0
77574,163.51509381103517,2.114725708007711,4185.618321847693,3573.8122438677883,3562.2088241449746,13873.596537235975,Tcelld3,PDL1n,0
77575,160.59983270263672,50.49672985839845,2797.2534393971778,5875.80892778368,2386.8538369793146,9205.530346691696,Tcelld3,PDL1n,0
77576,100.84650622558593,83.75202319335938,4427.7785634557,15005.838803140567,3151.322673188993,23292.831741109538,Tcelld3,PDL1n,0
77577,104.72106481933594,23.405009155273547,3408.195647107638,3455.1710970434574,2615.4909233331823,14824.933051796479,Tcelld3,PDL1n,0
77578,129.97159704589842,87.62561535644534,5391.145608229989,18082.933930443112,4064.354847088864,24687.400617219828,Tcelld3,PDL1n,0
77581,158.8256040649414,64.74021508789065,5860.025541957611,20526.827583992275,4058.4630288027593,13620.228861906531,Tcelld3,PDL1n,0
77582,142.46998461914063,68.70874755859376,3782.359590000297,13996.902486496929,3299.473660673965,17327.837712219145,Tcelld3,PDL1n,0
77585,149.917115234375,17.67909155273435,4519.4663658755335,4288.954168971134,5170.487667560336,12638.060074370853,Tcelld3,PDL1n,0
77588,177.0281185302735,48.792038208007796,3197.6060171224062,4409.204735132662,2624.43747304614,10103.078238834056,Tcelld3,PDL1n,0
77589,123.67166564941408,101.97191040039064,4752.117378011255,11840.507167948324,2590.505840804892,24408.679418328647,Tcelld3,PDL1n,0
