,time,cell,cell_state,tumor_debris,X,Y,experiment_id
0,0.0,dendritic_0,inactive,0.0,!units[601.696858336679 micrometer],!units[417.658951574286 micrometer],tumor_tcell_20230626.211422
1,0.0,dendritic_1,active,0.0,!units[595.9650747972248 micrometer],!units[414.8644117081974 micrometer],tumor_tcell_20230626.211422
2,0.0,dendritic_2,active,0.0,!units[412.93136331868845 micrometer],!units[684.1091405110631 micrometer],tumor_tcell_20230626.211422
3,0.0,dendritic_3,inactive,0.0,!units[786.6177755112415 micrometer],!units[771.0883193386999 micrometer],tumor_tcell_20230626.211422
4,600.0,dendritic_0,inactive,0.0,!units[596.6144977341149 micrometer],!units[418.0695652332565 micrometer],tumor_tcell_20230626.211422
5,600.0,dendritic_3,inactive,0.0,!units[789.5190274916081 micrometer],!units[771.1298339630437 micrometer],tumor_tcell_20230626.211422
6,1200.0,dendritic_0,inactive,0.0,!units[596.6019610785818 micrometer],!units[418.07650981051984 micrometer],tumor_tcell_20230626.211422
7,1200.0,dendritic_3,inactive,0.0,!units[789.5190274916081 micrometer],!units[771.1298339630437 micrometer],tumor_tcell_20230626.211422
8,1800.0,dendritic_0,inactive,0.0,!units[596.2083918974309 micrometer],!units[418.24659422353693 micrometer],tumor_tcell_20230626.211422
9,1800.0,dendritic_3,inactive,0.0,!units[789.5190274916081 micrometer],!units[771.1298339630437 micrometer],tumor_tcell_20230626.211422
10,2400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
11,2400.0,dendritic_3,inactive,0.0,!units[789.5190274916081 micrometer],!units[771.1298339630437 micrometer],tumor_tcell_20230626.211422
12,3000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
13,3000.0,dendritic_3,inactive,0.0,!units[789.5190274916081 micrometer],!units[771.1298339630437 micrometer],tumor_tcell_20230626.211422
14,3600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
15,3600.0,dendritic_3,inactive,0.0,!units[789.5190274916081 micrometer],!units[771.1298339630437 micrometer],tumor_tcell_20230626.211422
16,4200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
17,4200.0,dendritic_3,inactive,0.0,!units[789.5190274916081 micrometer],!units[771.1298339630437 micrometer],tumor_tcell_20230626.211422
18,4800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
