,time,cell,cell_state,IFNg,transferable_cytotoxic_packets,X,Y,experiment_id
0,0.0,tcell_0,PD1n,0.0,0.0,!units[846.798487410354 micrometer],!units[572.0983187118651 micrometer],tumor_tcell_20230626.211422
1,0.0,tcell_1,PD1n,0.0,0.0,!units[688.0815799942745 micrometer],!units[375.7221489336154 micrometer],tumor_tcell_20230626.211422
2,0.0,tcell_2,PD1n,0.0,0.0,!units[628.2207354813282 micrometer],!units[843.2849439484908 micrometer],tumor_tcell_20230626.211422
3,0.0,tcell_3,PD1n,0.0,0.0,!units[840.5328401019556 micrometer],!units[541.6970292684623 micrometer],tumor_tcell_20230626.211422
4,0.0,tcell_4,PD1n,0.0,0.0,!units[498.6334472833588 micrometer],!units[371.8763339000036 micrometer],tumor_tcell_20230626.211422
5,0.0,tcell_5,PD1n,0.0,0.0,!units[570.2936041437425 micrometer],!units[842.0244726658366 micrometer],tumor_tcell_20230626.211422
6,0.0,tcell_6,PD1n,0.0,0.0,!units[596.6248366613892 micrometer],!units[841.595867006854 micrometer],tumor_tcell_20230626.211422
7,0.0,tcell_7,PD1n,0.0,0.0,!units[518.1738358708737 micrometer],!units[832.6009726908824 micrometer],tumor_tcell_20230626.211422
8,0.0,tcell_8,PD1n,0.0,0.0,!units[651.5658504057111 micrometer],!units[357.29677098864346 micrometer],tumor_tcell_20230626.211422
9,0.0,tcell_9,PD1p,0.0,0.0,!units[847.9285619955979 micrometer],!units[578.9466617502397 micrometer],tumor_tcell_20230626.211422
10,0.0,tcell_10,PD1p,0.0,0.0,!units[640.8174525775569 micrometer],!units[844.6346210783122 micrometer],tumor_tcell_20230626.211422
11,0.0,tcell_11,PD1p,0.0,0.0,!units[562.7242679102645 micrometer],!units[845.8696481736607 micrometer],tumor_tcell_20230626.211422
12,0.0,tcell_12,PD1p,0.0,0.0,!units[579.959866718322 micrometer],!units[352.89776765461545 micrometer],tumor_tcell_20230626.211422
13,0.0,tcell_13,PD1p,0.0,0.0,!units[720.7465140388591 micrometer],!units[382.63114612896584 micrometer],tumor_tcell_20230626.211422
14,0.0,tcell_14,PD1p,0.0,0.0,!units[824.4032049899072 micrometer],!units[492.8921531683973 micrometer],tumor_tcell_20230626.211422
15,0.0,tcell_15,PD1p,0.0,0.0,!units[378.46452819630065 micrometer],!units[484.42577403224055 micrometer],tumor_tcell_20230626.211422
16,0.0,tcell_16,PD1p,0.0,0.0,!units[682.1707412703225 micrometer],!units[833.4680245413887 micrometer],tumor_tcell_20230626.211422
17,0.0,tcell_17,PD1p,0.0,0.0,!units[380.3594113663733 micrometer],!units[711.4568267167888 micrometer],tumor_tcell_20230626.211422
18,0.0,tcell_18,PD1p,0.0,0.0,!units[474.018643919037 micrometer],!units[810.7502856699552 micrometer],tumor_tcell_20230626.211422
19,0.0,tcell_19,PD1p,0.0,0.0,!units[811.921443696567 micrometer],!units[715.835028597433 micrometer],tumor_tcell_20230626.211422
20,0.0,tcell_20,PD1p,0.0,0.0,!units[843.2436240821578 micrometer],!units[644.414853675066 micrometer],tumor_tcell_20230626.211422
21,0.0,tcell_21,PD1p,0.0,0.0,!units[843.1933318511595 micrometer],!units[623.5978655251325 micrometer],tumor_tcell_20230626.211422
22,0.0,tcell_22,PD1p,0.0,0.0,!units[355.6194737936438 micrometer],!units[556.3967104761007 micrometer],tumor_tcell_20230626.211422
23,0.0,tcell_23,PD1p,0.0,0.0,!units[832.1354071743517 micrometer],!units[682.8120277520565 micrometer],tumor_tcell_20230626.211422
24,0.0,tcell_24,PD1p,0.0,0.0,!units[829.715341168373 micrometer],!units[505.3704178055508 micrometer],tumor_tcell_20230626.211422
25,0.0,tcell_25,PD1p,0.0,0.0,!units[438.95911700111753 micrometer],!units[788.7765377184016 micrometer],tumor_tcell_20230626.211422
26,0.0,tcell_26,PD1p,0.0,0.0,!units[570.5306552758781 micrometer],!units[354.41330907524605 micrometer],tumor_tcell_20230626.211422
27,0.0,tcell_27,PD1p,0.0,0.0,!units[826.9734720620684 micrometer],!units[501.26183756588574 micrometer],tumor_tcell_20230626.211422
28,0.0,tcell_28,PD1p,0.0,0.0,!units[631.5209681343556 micrometer],!units[846.6152436918612 micrometer],tumor_tcell_20230626.211422
29,0.0,tcell_29,PD1p,0.0,0.0,!units[550.5718611347202 micrometer],!units[840.5800725642576 micrometer],tumor_tcell_20230626.211422
30,0.0,tcell_30,PD1p,0.0,0.0,!units[780.9100325474711 micrometer],!units[432.9694966681417 micrometer],tumor_tcell_20230626.211422
31,0.0,tcell_31,PD1p,0.0,0.0,!units[841.3738180491877 micrometer],!units[557.6988538140316 micrometer],tumor_tcell_20230626.211422
32,0.0,tcell_32,PD1p,0.0,0.0,!units[754.3388482476375 micrometer],!units[410.5723248969045 micrometer],tumor_tcell_20230626.211422
33,0.0,tcell_33,PD1p,0.0,0.0,!units[672.8659803680878 micrometer],!units[832.9515547287668 micrometer],tumor_tcell_20230626.211422
34,0.0,tcell_34,PD1p,0.0,0.0,!units[836.8050708001476 micrometer],!units[662.4880726270659 micrometer],tumor_tcell_20230626.211422
35,0.0,tcell_35,PD1p,0.0,0.0,!units[540.3010125430333 micrometer],!units[841.9367980462844 micrometer],tumor_tcell_20230626.211422
36,0.0,tcell_36,PD1p,0.0,0.0,!units[769.8732898264609 micrometer],!units[419.473689046717 micrometer],tumor_tcell_20230626.211422
37,0.0,tcell_37,PD1p,0.0,0.0,!units[486.51168962688604 micrometer],!units[818.5816122765998 micrometer],tumor_tcell_20230626.211422
38,0.0,tcell_38,PD1p,0.0,0.0,!units[769.4887720018896 micrometer],!units[773.501386111258 micrometer],tumor_tcell_20230626.211422
39,0.0,tcell_39,PD1p,0.0,0.0,!units[460.7081561715247 micrometer],!units[805.0238020276021 micrometer],tumor_tcell_20230626.211422
