cell,time,death,apoptosis,total_apoptosis,Tcell_death,total_Tcell_death,total_death,experiment_id
tumor_325,0.75,apoptosis,1,1,0,0,1,tumor_tcell_20230626.211422
tumor_144,1.8,apoptosis,1,2,0,0,2,tumor_tcell_20230626.211422
tumor_273,1.8833333333333333,apoptosis,1,3,0,0,3,tumor_tcell_20230626.211422
tumor_134,1.8833333333333333,apoptosis,1,4,0,0,4,tumor_tcell_20230626.211422
tumor_341,1.9833333333333334,apoptosis,1,5,0,0,5,tumor_tcell_20230626.211422
tumor_140,2.0,apoptosis,1,6,0,0,6,tumor_tcell_20230626.211422
tumor_94,2.05,apoptosis,1,7,0,0,7,tumor_tcell_20230626.211422
tumor_263,3.15,apoptosis,1,8,0,0,8,tumor_tcell_20230626.211422
tumor_35,3.3666666666666667,apoptosis,1,9,0,0,9,tumor_tcell_20230626.211422
tumor_284,3.4833333333333334,apoptosis,1,10,0,0,10,tumor_tcell_20230626.211422
tumor_13,3.6,apoptosis,1,11,0,0,11,tumor_tcell_20230626.211422
tumor_335,3.6166666666666667,apoptosis,1,12,0,0,12,tumor_tcell_20230626.211422
tumor_100,4.3,apoptosis,1,13,0,0,13,tumor_tcell_20230626.211422
tumor_158,4.366666666666666,apoptosis,1,14,0,0,14,tumor_tcell_20230626.211422
tumor_221B,4.483333333333333,apoptosis,1,15,0,0,15,tumor_tcell_20230626.211422
tumor_236,4.933333333333334,apoptosis,1,16,0,0,16,tumor_tcell_20230626.211422
tumor_23,5.083333333333333,apoptosis,1,17,0,0,17,tumor_tcell_20230626.211422
tumor_394,5.966666666666667,apoptosis,1,18,0,0,18,tumor_tcell_20230626.211422
tumor_296,6.4,apoptosis,1,19,0,0,19,tumor_tcell_20230626.211422
tumor_242,6.583333333333333,apoptosis,1,20,0,0,20,tumor_tcell_20230626.211422
tumor_108,7.1,apoptosis,1,21,0,0,21,tumor_tcell_20230626.211422
tumor_356,7.216666666666667,apoptosis,1,22,0,0,22,tumor_tcell_20230626.211422
tumor_283B,7.516666666666667,apoptosis,1,23,0,0,23,tumor_tcell_20230626.211422
tumor_2,7.95,apoptosis,1,24,0,0,24,tumor_tcell_20230626.211422
tumor_386,8.25,apoptosis,1,25,0,0,25,tumor_tcell_20230626.211422
tumor_274,8.65,apoptosis,1,26,0,0,26,tumor_tcell_20230626.211422
tumor_85,10.316666666666666,apoptosis,1,27,0,0,27,tumor_tcell_20230626.211422
